case,image,kind,effort,distance,mode,bytes,quality
chroma-gradient-e4-d3,chroma-gradient,synthetic-gradient,4,3.0,quantize,2691,92.51920176902175
chroma-gradient-e4-d3,chroma-gradient,synthetic-gradient,4,3.0,smooth,2621,89.45639512307757
chroma-gradient-e4-d6,chroma-gradient,synthetic-gradient,4,6.0,both,2548,91.29978140095041
chroma-gradient-e4-d6,chroma-gradient,synthetic-gradient,4,6.0,default,2582,85.85724011678877
chroma-gradient-e4-d6,chroma-gradient,synthetic-gradient,4,6.0,quantize,2475,90.2073229431397
chroma-gradient-e4-d6,chroma-gradient,synthetic-gradient,4,6.0,smooth,2560,90.09360189329848
chroma-gradient-e7-d1.2,chroma-gradient,synthetic-gradient,7,1.2,both,1995,93.83650495545834
chroma-gradient-e7-d1.2,chroma-gradient,synthetic-gradient,7,1.2,default,1500,91.60422687947631
chroma-gradient-e7-d1.2,chroma-gradient,synthetic-gradient,7,1.2,quantize,1949,93.55525842641835
chroma-gradient-e7-d1.2,chroma-gradient,synthetic-gradient,7,1.2,smooth,1475,92.43871020468188
chroma-gradient-e7-d3,chroma-gradient,synthetic-gradient,7,3.0,both,1220,93.18149897667172
chroma-gradient-e7-d3,chroma-gradient,synthetic-gradient,7,3.0,default,963,89.20038745565981
chroma-gradient-e7-d3,chroma-gradient,synthetic-gradient,7,3.0,quantize,1258,91.87679135871792
chroma-gradient-e7-d3,chroma-gradient,synthetic-gradient,7,3.0,smooth,977,90.87314482563967
chroma-gradient-e7-d6,chroma-gradient,synthetic-gradient,7,6.0,both,948,91.05749762736055
chroma-gradient-e7-d6,chroma-gradient,synthetic-gradient,7,6.0,default,729,87.2021010913742
chroma-gradient-e7-d6,chroma-gradient,synthetic-gradient,7,6.0,quantize,1019,89.03707223360433
chroma-gradient-e7-d6,chroma-gradient,synthetic-gradient,7,6.0,smooth,851,86.50319436879603
