case,kind,effort,distance,mode,srgb_rmse,block_error_roughness,red_green_error_roughness
campus_interior-visual-e7-d1.2,photographic,7,1.2,quantize,0.007775940932333469,0.0025225875433534384,0.0019312591757625341
campus_interior-visual-e7-d1.2,photographic,7,1.2,smooth,0.007864735089242458,0.0034323877189308405,0.003536048112437129
campus_interior-visual-e7-d3,photographic,7,3.0,both,0.015191550366580486,0.005135518033057451,0.003548447974026203
campus_interior-visual-e7-d3,photographic,7,3.0,both-matched-size,0.015435915440320969,0.005070353392511606,0.0034913828130811453
campus_interior-visual-e7-d3,photographic,7,3.0,default,0.015613943338394165,0.008503778837621212,0.006325326859951019
campus_interior-visual-e7-d3,photographic,7,3.0,quantize,0.015181504189968109,0.004911770578473806,0.003494483884423971
campus_interior-visual-e7-d3,photographic,7,3.0,smooth,0.015572356060147285,0.008234879933297634,0.006086789071559906
campus_interior-visual-e7-d6,photographic,7,6.0,both,0.0230566393584013,0.009053662419319153,0.004729041364043951
campus_interior-visual-e7-d6,photographic,7,6.0,both-matched-size,0.023955494165420532,0.00967106968164444,0.004711119458079338
campus_interior-visual-e7-d6,photographic,7,6.0,default,0.023546526208519936,0.011888439767062664,0.005469893105328083
campus_interior-visual-e7-d6,photographic,7,6.0,quantize,0.023088324815034866,0.00915562640875578,0.005008282605558634
campus_interior-visual-e7-d6,photographic,7,6.0,smooth,0.023573866114020348,0.011861256323754787,0.005210097413510084
forest_stream-visual-e3-d1.2,photographic,3,1.2,both,0.03328656405210495,0.006661610212177038,0.005692208651453257
forest_stream-visual-e3-d1.2,photographic,3,1.2,default,0.03329605609178543,0.006861447356641293,0.005952301435172558
forest_stream-visual-e3-d1.2,photographic,3,1.2,quantize,0.03328646346926689,0.006659145932644606,0.005686282180249691
forest_stream-visual-e3-d1.2,photographic,3,1.2,smooth,0.03329610079526901,0.006862839218229055,0.005954425781965256
forest_stream-visual-e3-d3,photographic,3,3.0,both,0.048505749553442,0.010953845456242561,0.010529232211411
forest_stream-visual-e3-d3,photographic,3,3.0,default,0.048535142093896866,0.011658744886517525,0.01148800365626812
forest_stream-visual-e3-d3,photographic,3,3.0,quantize,0.04850441589951515,0.01092815212905407,0.01048597414046526
forest_stream-visual-e3-d3,photographic,3,3.0,smooth,0.0485357828438282,0.011670876294374466,0.011507761664688587
forest_stream-visual-e3-d6,photographic,3,6.0,both,0.06342563033103943,0.016627514734864235,0.01667030155658722
forest_stream-visual-e3-d6,photographic,3,6.0,default,0.06355321407318115,0.01886902190744877,0.019361024722456932
forest_stream-visual-e3-d6,photographic,3,6.0,quantize,0.0634160041809082,0.016453830525279045,0.01630752719938755
forest_stream-visual-e3-d6,photographic,3,6.0,smooth,0.06355749815702438,0.01891256310045719,0.019476935267448425
forest_stream-visual-e4-d1.2,photographic,4,1.2,both,0.033610399812459946,0.006623922847211361,0.0056553790345788
forest_stream-visual-e4-d1.2,photographic,4,1.2,default,0.033614322543144226,0.0067738499492406845,0.0059172953478991985
forest_stream-visual-e4-d1.2,photographic,4,1.2,quantize,0.03361017629504204,0.00662178173661232,0.0056503587402403355
forest_stream-visual-e4-d1.2,photographic,4,1.2,smooth,0.03361428901553154,0.006775392219424248,0.005920500494539738
forest_stream-visual-e4-d3,photographic,4,3.0,both,0.049873530864715576,0.011343567632138729,0.010866858996450901
forest_stream-visual-e4-d3,photographic,4,3.0,both-matched-size,0.050348393619060516,0.011326847597956657,0.010801843367516994
forest_stream-visual-e4-d3,photographic,4,3.0,default,0.04989762231707573,0.012073288671672344,0.011868415400385857
forest_stream-visual-e4-d3,photographic,4,3.0,quantize,0.049871958792209625,0.011310250498354435,0.010809900239109993
forest_stream-visual-e4-d3,photographic,4,3.0,smooth,0.049898333847522736,0.012088838033378124,0.011891325935721397
forest_stream-visual-e4-d6,photographic,4,6.0,both,0.06576624512672424,0.017114369198679924,0.016893595457077026
forest_stream-visual-e4-d6,photographic,4,6.0,both-matched-size,0.06679951399564743,0.017499985173344612,0.017503630369901657
forest_stream-visual-e4-d6,photographic,4,6.0,default,0.0658649429678917,0.018967777490615845,0.019448259845376015
forest_stream-visual-e4-d6,photographic,4,6.0,quantize,0.06575598567724228,0.016953472048044205,0.01656608283519745
forest_stream-visual-e4-d6,photographic,4,6.0,smooth,0.06586801260709763,0.019004205241799355,0.01956433244049549
forest_stream-visual-e7-d1.2,photographic,7,1.2,both,0.033592890948057175,0.0066652786917984486,0.005710557568818331
forest_stream-visual-e7-d1.2,photographic,7,1.2,default,0.033596064895391464,0.006849059835076332,0.005939191672950983
forest_stream-visual-e7-d1.2,photographic,7,1.2,quantize,0.03359241038560867,0.006662841886281967,0.005705857649445534
forest_stream-visual-e7-d1.2,photographic,7,1.2,smooth,0.03359586372971535,0.006850598845630884,0.005942155607044697
forest_stream-visual-e7-d3,photographic,7,3.0,both,0.051842737942934036,0.01647295244038105,0.019570842385292053
forest_stream-visual-e7-d3,photographic,7,3.0,both-matched-size,0.05239991843700409,0.016883179545402527,0.02001907490193844
forest_stream-visual-e7-d3,photographic,7,3.0,default,0.051884960383176804,0.01704704761505127,0.020136650651693344
forest_stream-visual-e7-d3,photographic,7,3.0,quantize,0.051842525601387024,0.016447067260742188,0.01953587867319584
forest_stream-visual-e7-d3,photographic,7,3.0,smooth,0.0518852174282074,0.017054971307516098,0.020154336467385292
forest_stream-visual-e7-d6,photographic,7,6.0,both,0.06737944483757019,0.026989923790097237,0.03091999515891075
forest_stream-visual-e7-d6,photographic,7,6.0,both-matched-size,0.06845663487911224,0.027573853731155396,0.03165386989712715
forest_stream-visual-e7-d6,photographic,7,6.0,default,0.06753211468458176,0.02848106250166893,0.03274150937795639
forest_stream-visual-e7-d6,photographic,7,6.0,quantize,0.0673571527004242,0.026852287352085114,0.030704444274306297
forest_stream-visual-e7-d6,photographic,7,6.0,smooth,0.06753377616405487,0.0284983329474926,0.03276733309030533
gray-gradient-e3-d1.2,synthetic-gradient,3,1.2,both,0.00014290200488176197,0.000157265443704091,1.7802198826188942e-08
gray-gradient-e3-d1.2,synthetic-gradient,3,1.2,default,0.0004856859741266817,0.000813698279671371,1.766228585609042e-08
gray-gradient-e3-d1.2,synthetic-gradient,3,1.2,quantize,0.00026036513736471534,0.0005477219820022583,2.6345473358446725e-08
gray-gradient-e3-d1.2,synthetic-gradient,3,1.2,smooth,0.00024133126134984195,0.0002871956385206431,2.2543433786381684e-08
gray-gradient-e3-d3,synthetic-gradient,3,3.0,both,0.00036077178083360195,0.00029888449353165925,2.343661797965524e-08
gray-gradient-e3-d3,synthetic-gradient,3,3.0,default,0.0010812217369675636,0.0011867349967360497,1.0614360057559225e-08
gray-gradient-e3-d3,synthetic-gradient,3,3.0,quantize,0.0005702794878743589,0.000834555656183511,1.7942722863040217e-08
gray-gradient-e3-d3,synthetic-gradient,3,3.0,smooth,0.0008239343296736479,0.00042576357373036444,1.3986546143485157e-08
gray-gradient-e3-d6,synthetic-gradient,3,6.0,both,0.0008447231375612319,0.00040622169035486877,1.7332748569742762e-08
gray-gradient-e3-d6,synthetic-gradient,3,6.0,default,0.0020156458485871553,0.0016014607390388846,8.860812528155293e-09
gray-gradient-e3-d6,synthetic-gradient,3,6.0,quantize,0.0010734680108726025,0.0011258461745455861,1.4119943436696758e-08
gray-gradient-e3-d6,synthetic-gradient,3,6.0,smooth,0.0017576272366568446,0.0005763167282566428,1.1715827419322977e-08
gray-gradient-e4-d1.2,synthetic-gradient,4,1.2,both,0.0001434472796972841,0.00015752569015603513,1.834975549286355e-08
gray-gradient-e4-d1.2,synthetic-gradient,4,1.2,default,0.0004914966993965209,0.0008161623845808208,1.8285083669411506e-08
gray-gradient-e4-d1.2,synthetic-gradient,4,1.2,quantize,0.000255620019743219,0.0005376994959078729,2.7400954394352084e-08
gray-gradient-e4-d1.2,synthetic-gradient,4,1.2,smooth,0.00022700456611346453,0.00028014459530822933,2.226550677164596e-08
gray-gradient-e4-d3,synthetic-gradient,4,3.0,both,0.0003666664706543088,0.0003001056902576238,2.1194544785885228e-08
gray-gradient-e4-d3,synthetic-gradient,4,3.0,default,0.0010559643851593137,0.0011684820055961609,1.5012805221203962e-08
gray-gradient-e4-d3,synthetic-gradient,4,3.0,quantize,0.0005679169553332031,0.0008315950981341302,1.9802660844447928e-08
gray-gradient-e4-d3,synthetic-gradient,4,3.0,smooth,0.0008357313345186412,0.000427791295805946,1.583661912718526e-08
gray-gradient-e4-d6,synthetic-gradient,4,6.0,both,0.0008262472692877054,0.00040181539952754974,1.5210268600185373e-08
gray-gradient-e4-d6,synthetic-gradient,4,6.0,default,0.001994677819311619,0.0015853556105867028,7.660167611334145e-09
gray-gradient-e4-d6,synthetic-gradient,4,6.0,quantize,0.0010508220875635743,0.0011118194088339806,1.1267389687930063e-08
gray-gradient-e4-d6,synthetic-gradient,4,6.0,smooth,0.0016828718362376094,0.0005657018045894802,1.0601145739030926e-08
gray-gradient-e7-d1.2,synthetic-gradient,7,1.2,both,0.00013773245154879987,0.00017835253675002605,1.3671726861730349e-08
gray-gradient-e7-d1.2,synthetic-gradient,7,1.2,default,0.0005522477440536022,0.0008760177297517657,1.5257384688993625e-08
gray-gradient-e7-d1.2,synthetic-gradient,7,1.2,quantize,0.0003063961339648813,0.0005961389397270977,1.4954736116123968e-08
gray-gradient-e7-d1.2,synthetic-gradient,7,1.2,smooth,0.0002642375184223056,0.0003148290270473808,1.4044981178074067e-08
gray-gradient-e7-d3,synthetic-gradient,7,3.0,both,0.0003867416235152632,0.0003281540994066745,1.4402594672446867e-08
gray-gradient-e7-d3,synthetic-gradient,7,3.0,default,0.0011891168542206287,0.0013111577136442065,1.5351282911524322e-08
gray-gradient-e7-d3,synthetic-gradient,7,3.0,quantize,0.0006546869990415871,0.0009223537635989487,1.598452392670424e-08
gray-gradient-e7-d3,synthetic-gradient,7,3.0,smooth,0.0008606764022260904,0.00046274487976916134,1.5986371337817218e-08
gray-gradient-e7-d6,synthetic-gradient,7,6.0,both,0.0008557478431612253,0.0004372863913886249,1.5743502501663897e-08
gray-gradient-e7-d6,synthetic-gradient,7,6.0,both-matched-size,0.0008973352378234267,0.00044589239405468106,1.5764163308062962e-08
gray-gradient-e7-d6,synthetic-gradient,7,6.0,default,0.0020824656821787357,0.0017477957298979163,1.1396872778846046e-08
gray-gradient-e7-d6,synthetic-gradient,7,6.0,quantize,0.0011223487090319395,0.0012231528526172042,1.595129717202326e-08
gray-gradient-e7-d6,synthetic-gradient,7,6.0,smooth,0.0017361253267154098,0.0006127564120106399,1.5095340089033016e-08
dark-gradient-e3-d1.2,synthetic-gradient,3,1.2,both,0.0001514180621597916,0.00013271853094920516,6.880174652224014e-09
dark-gradient-e3-d1.2,synthetic-gradient,3,1.2,default,0.0005361958174034953,0.0007927488768473268,6.602002500244453e-09
dark-gradient-e3-d1.2,synthetic-gradient,3,1.2,quantize,0.0002835186314769089,0.0005529742920771241,9.369374609491388e-09
dark-gradient-e3-d1.2,synthetic-gradient,3,1.2,smooth,0.00031708276947028935,0.0002841331297531724,7.964219506106929e-09
dark-gradient-e3-d3,synthetic-gradient,3,3.0,both,0.000453963759355247,0.0002973196387756616,8.206272994470964e-09
dark-gradient-e3-d3,synthetic-gradient,3,3.0,default,0.0012220038333907723,0.0011717587476596236,4.144523835236669e-09
dark-gradient-e3-d3,synthetic-gradient,3,3.0,quantize,0.0006464515463449061,0.0008246239158324897,6.075878467015627e-09
dark-gradient-e3-d3,synthetic-gradient,3,3.0,smooth,0.0009970266837626696,0.0004211657214909792,5.217254184231024e-09
dark-gradient-e3-d6,synthetic-gradient,3,6.0,both,0.001015343121252954,0.0004013280267827213,5.030003524808535e-09
dark-gradient-e3-d6,synthetic-gradient,3,6.0,default,0.002276139333844185,0.0015815678052604198,3.0272897522110043e-09
dark-gradient-e3-d6,synthetic-gradient,3,6.0,quantize,0.001215935917571187,0.0011123489821329713,3.904132572785102e-09
dark-gradient-e3-d6,synthetic-gradient,3,6.0,smooth,0.0020510421600192785,0.0005696529406122863,3.867213660413427e-09
dark-gradient-e4-d1.2,synthetic-gradient,4,1.2,both,0.00015921903832349926,0.00013533903984352946,6.8671104358486446e-09
dark-gradient-e4-d1.2,synthetic-gradient,4,1.2,default,0.0005424604169093072,0.0007942323572933674,5.991716456321683e-09
dark-gradient-e4-d1.2,synthetic-gradient,4,1.2,quantize,0.0002874844358302653,0.0005562510341405869,9.441596837689303e-09
dark-gradient-e4-d1.2,synthetic-gradient,4,1.2,smooth,0.00034150612191297114,0.0002899580867961049,7.51526130216007e-09
dark-gradient-e4-d3,synthetic-gradient,4,3.0,both,0.000457903923233971,0.0002979536075145006,7.557687808912306e-09
dark-gradient-e4-d3,synthetic-gradient,4,3.0,default,0.0012080344604328275,0.001162670087069273,4.23935775373252e-09
dark-gradient-e4-d3,synthetic-gradient,4,3.0,quantize,0.0006533898413181305,0.0008276232401840389,5.024968885436465e-09
dark-gradient-e4-d3,synthetic-gradient,4,3.0,smooth,0.0009926317725330591,0.00042004164424724877,4.822772847745682e-09
dark-gradient-e4-d6,synthetic-gradient,4,6.0,both,0.0009690208826214075,0.0003947005607187748,5.2683910567452585e-09
dark-gradient-e4-d6,synthetic-gradient,4,6.0,default,0.002210180973634124,0.0015591606497764587,3.4397718007284084e-09
dark-gradient-e4-d6,synthetic-gradient,4,6.0,quantize,0.0011669030645862222,0.0010904533555731177,4.675492881744958e-09
dark-gradient-e4-d6,synthetic-gradient,4,6.0,smooth,0.001984082628041506,0.0005628053331747651,4.337990411329429e-09
dark-gradient-e7-d1.2,synthetic-gradient,7,1.2,both,0.0001576836220920086,0.0001534575567347929,5.0737809509371345e-09
dark-gradient-e7-d1.2,synthetic-gradient,7,1.2,default,0.0006463297759182751,0.0008937411475926638,5.759820620454548e-09
dark-gradient-e7-d1.2,synthetic-gradient,7,1.2,quantize,0.00035498145734891295,0.0006311174365691841,5.337125408289012e-09
dark-gradient-e7-d1.2,synthetic-gradient,7,1.2,smooth,0.00036867603193968534,0.0003151546698063612,5.1994279992584325e-09
dark-gradient-e7-d3,synthetic-gradient,7,3.0,both,0.0004721948935184628,0.00032186813768930733,5.268116609613571e-09
dark-gradient-e7-d3,synthetic-gradient,7,3.0,default,0.0013022429775446653,0.0012851061765104532,6.200218116703127e-09
dark-gradient-e7-d3,synthetic-gradient,7,3.0,quantize,0.0007316739647649229,0.0009178665350191295,6.394366369733007e-09
dark-gradient-e7-d3,synthetic-gradient,7,3.0,smooth,0.0010524765821173787,0.00046204825048334897,5.631158650487578e-09
dark-gradient-e7-d6,synthetic-gradient,7,6.0,both,0.0010053067235276103,0.00042976942495442927,6.0762039844064475e-09
