image,stratum,effort,reference,variant,quality_low,quality_high,pchip_percent,linear_percent,difference_percentage_points
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,7,weighted,both,75.73808173416869,89.78192192931698,-1.435234806184764,-1.6014414038614089,-0.16620659767664492
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,default,weighted,83.35289845361268,92.86704436584023,-3.8576455088847856,-3.845404497287768,0.012241011597017515
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,default,quantize,83.35289845361268,92.86704436584023,-8.527827796511724,-8.622667468685464,-0.09483967217373923
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,default,smooth,83.35289845361268,92.86704436584023,-3.6948099661916265,-3.7704255371926196,-0.07561557100099314
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,default,both,83.35289845361268,92.86704436584023,-5.795159754577292,-5.804248780866323,-0.009089026289030855
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,weighted,default,83.35289845361268,92.86704436584023,4.0124308680637535,3.999189510582779,-0.013241357480974436
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,weighted,quantize,83.35289845361268,92.86704436584023,-4.857570123330528,-4.968314771042786,-0.11074464771225845
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,weighted,smooth,83.35289845361268,92.86704436584023,0.16936920627235785,0.07797751080241785,-0.09139169546994
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,3,weighted,both,83.35289845361268,92.86704436584023,-2.0152556653598057,-2.0371821786960784,-0.021926513336272713
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,default,weighted,82.16601446095932,92.66139461295677,-4.016055912953728,-4.010297674902691,0.005758238051037701
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,default,quantize,82.16601446095932,92.66139461295677,-7.551663943932492,-7.556539866057892,-0.004875922125400223
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,default,smooth,82.16601446095932,92.66139461295677,-4.099325502427864,-4.108697191504448,-0.009371689076584033
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,default,both,82.16601446095932,92.66139461295677,-5.212167837495977,-5.1655741368573125,0.04659370063866408
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,weighted,default,82.16601446095932,92.66139461295677,4.184091361479824,4.177841557754435,-0.006249803725388858
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,weighted,quantize,82.16601446095932,92.66139461295677,-3.6835411011787333,-3.6943985711559044,-0.010857469977171075
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,weighted,smooth,82.16601446095932,92.66139461295677,-0.08675366517406247,-0.10251049249897462,-0.015756827324912154
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,4,weighted,both,82.16601446095932,92.66139461295677,-1.2461583402506506,-1.2035420820891176,0.04261625816153303
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,default,weighted,83.40701867994669,92.6272065987691,-4.6061140777548495,-4.603042908758057,0.003071168996792828
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,default,quantize,83.40701867994669,92.6272065987691,-10.509150947857888,-10.401731680843291,0.10741926701459725
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,default,smooth,83.40701867994669,92.6272065987691,-4.51773983778906,-4.464469590939777,0.05327024684928272
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,default,both,83.40701867994669,92.6272065987691,-6.988071579942094,-6.872480273707722,0.1155913062343723
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,weighted,default,83.40701867994669,92.6272065987691,4.828521275995885,4.825146471239643,-0.003374804756242078
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,weighted,quantize,83.40701867994669,92.6272065987691,-6.188066261305844,-6.0784839987496735,0.1095822625561702
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,weighted,smooth,83.40701867994669,92.6272065987691,0.09264140894503797,0.14525968337306708,0.052618274428029105
clic2024_test--b51d5fb537246482ef7a7ab63f093cab,clic2024_test,7,weighted,both,83.40701867994669,92.6272065987691,-2.4969708269655357,-2.378941041881528,0.11802978508400752
clic2024_test--ef576c4ed599d75d72145a8f34b58ccb,clic2024_test,3,default,weighted,70.56390467652173,89.58803778108006,-1.3356393610653317,-1.3417120317041167,-0.006072670638785027
clic2024_test--ef576c4ed599d75d72145a8f34b58ccb,clic2024_test,3,default,quantize,70.56390467652173,89.58803778108006,-0.18759542288327735,-0.19685411562438151,-0.009258692741104163
clic2024_test--ef576c4ed599d75d72145a8f34b58ccb,clic2024_test,3,default,smooth,70.56390467652173,89.58803778108006,-1.1736499629349368,-1.1794190264440343,-0.00576906350909745
