image,stratum,effort,reference,variant,byte_change_percent,quality_delta_from_target,encode_median_change_percent,encode_q25_change_percent,encode_q75_change_percent,slower_rounds,rounds
imazen26-1029-planter-4k,photo_4k,4,default,smooth,-0.4489098945581693,0.01669801953491401,3.984795030225552,0.2842597007441716,9.773729382590336,16,20
imazen26-1029-planter-4k,photo_4k,4,default,weighted,-0.6254206456072109,0.0,3.159686931768668,0.10972317875972415,8.869801140965738,15,20
imazen26-1029-planter-4k,photo_4k,4,weighted,both,0.21003791547276052,-0.007599382515721231,9.851634096256978,6.270281507140063,12.343375611231998,19,20
imazen26-1029-planter-4k,photo_4k,4,weighted,default,0.6293567727988281,0.0,-3.062609563209562,-8.108663128782501,-0.10242588339008929,5,20
imazen26-1029-planter-4k,photo_4k,4,weighted,quantize,-0.024757490142646166,0.03016919484407765,10.888354424648083,6.873383623697871,14.418202462809537,18,20
imazen26-1029-planter-4k,photo_4k,4,weighted,smooth,0.1776216334154812,0.01669801953491401,0.45994974222618445,-1.1908067326526606,3.312512964473835,11,20
imazen26-1029-planter-4k,photo_4k,7,default,both,-0.07819647019171594,0.041681915497363775,9.3442665488503,2.5452305425830435,14.698486011868006,18,20
imazen26-1029-planter-4k,photo_4k,7,default,quantize,-0.4314626217305939,-0.014547228543918322,7.46266319642821,4.046887584755354,13.496038729835202,18,20
imazen26-1029-planter-4k,photo_4k,7,default,smooth,-0.6698860667621265,0.04052796757011379,0.5312014630361794,-2.8752828113253193,6.29804432763581,12,20
imazen26-1029-planter-4k,photo_4k,7,default,weighted,-0.6347556115106623,0.0,2.857605502698668,-3.2027964682978416,6.477280345645253,12,20
imazen26-1029-planter-4k,photo_4k,7,weighted,both,0.5601144995356355,0.041681915497363775,7.126119248049934,3.6585875225752185,8.398716742525325,18,20
imazen26-1029-planter-4k,photo_4k,7,weighted,default,0.6388104969872188,0.0,-2.777536173537243,-6.06069746039778,3.314507970475966,8,20
imazen26-1029-planter-4k,photo_4k,7,weighted,quantize,0.2045916467384279,-0.014547228543918322,6.978753171159191,0.6004002505132888,10.71765791175121,16,20
imazen26-1029-planter-4k,photo_4k,7,weighted,smooth,-0.03535487228725209,0.04052796757011379,-1.283553425692352,-4.7203807537583025,5.222046480464826,9,20
edge,compact,4,default,both,21.07692307692308,0.049728370873353356,22.495936964599572,21.18326828764383,24.689958667426694,20,20
edge,compact,4,default,quantize,23.6923076923077,0.04963518192464278,22.877063966243227,21.54824060714946,25.733241390885155,20,20
edge,compact,4,default,smooth,9.23076923076922,0.0,1.6502069763316252,0.49282194686750547,3.3241871189058747,17,20
edge,compact,4,default,weighted,9.38461538461539,0.0,1.2311719629757967,-0.6419637133884049,2.1952098424516064,13,20
edge,compact,4,weighted,both,10.689170182841078,0.049728370873353356,21.979690024071985,19.222053460336518,23.729255546906145,20,20
edge,compact,4,weighted,default,-8.57946554149086,0.0,-1.2161960911658554,-2.1479735816030243,0.6462088908170127,7,20
edge,compact,4,weighted,quantize,13.080168776371304,0.04963518192464278,22.873193778461754,20.991631636326915,24.251270328981335,20,20
edge,compact,4,weighted,smooth,-0.14064697609000865,0.0,1.1952017138317839,-1.1065005235282976,3.4803531478962757,12,20
