image,stratum,effort,variant,distance,bytes,quality
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,1,819784,80.13649782574947
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,both,1.39999997616,615977,73.26166474522691
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,1.39999997616,608128,73.24680556873612
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,quantize,1.39999997616,615954,73.4339931207177
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,smooth,1.39999997616,605663,73.09302205477339
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,1.39999997616,605385,73.24680556873612
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,both,2,402556,62.448756023965736
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,2,395298,62.478057364040936
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,quantize,2,402430,62.769670390118655
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,smooth,2,392922,62.29678249079656
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,2,392724,62.478057364040936
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,both,0.5,846798,90.07930171555432
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,default,0.5,840158,90.02306470344489
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,quantize,0.5,846799,90.17131578647346
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,smooth,0.5,836213,90.00556960948751
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,weighted,0.5,836214,90.02306470344489
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,both,0.699999988079,668186,88.43840795767926
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,default,0.699999988079,661513,88.13478706077383
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,quantize,0.699999988079,668187,88.47002220455339
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,smooth,0.699999988079,658156,88.19676410201359
