window,counter_id,counter,covered_ms,mean
gjxl_aq_resident_input_statistics,12,ALU Utilization,1.925875,8.684991226195299
gjxl_butteraugli_low_medium_p1_device,12,ALU Utilization,15.729545,34.7966726147509
gjxl_butteraugli_convolve_transpose_f32,12,ALU Utilization,9.670374,29.079544015418943
gjxl_butteraugli_subsample2x_f32,12,ALU Utilization,2.510083,3.8039174746573012
gjxl_butteraugli_frequency_high_convolve_f32,12,ALU Utilization,9.845999,24.42569319480135
gjxl_butteraugli_frequency_suppress_x_f32,12,ALU Utilization,4.082791,8.276571159201367
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,12,ALU Utilization,12.272249,12.860439058921411
gjxl_butteraugli_fuzzy_erosion_f32,12,ALU Utilization,1.030249,32.56777781229793
gjxl_convolve_symmetric5_f32,12,ALU Utilization,2.9835,18.286174661433375
gjxl_aq_initial_cfl,12,ALU Utilization,4.532375,2.765448911412848
gjxl_aq_initial_quant_gradient,12,ALU Utilization,1.95925,28.579712825327817
gjxl_aq_initial_quant_modulation,12,ALU Utilization,1.103041,21.368087844479213
gjxl_aq_validate_initial_mask,12,ALU Utilization,1.881417,1.3035242383711267
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,12,ALU Utilization,3.520834,37.7859035177884
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,12,ALU Utilization,3.679291,32.564474990101324
gjxl_ac_strategy_dct32x16_candidate_loss_local,12,ALU Utilization,8.398917,37.440440097368054
gjxl_ac_strategy_dct32_candidate_loss_local,12,ALU Utilization,31.607784,30.855211800401914
gjxl_dct32_forward_simdgroup_2d_matmul_image,12,ALU Utilization,3.889417,27.922344745400796
gjxl_aq_final_cfl,12,ALU Utilization,2.502625,43.63501107485821
gjxl_aq_dc_quantize_simd_wave,12,ALU Utilization,2.990876,4.979805055198086
gjxl_dct32_inverse_simdgroup_2d_matmul_image,12,ALU Utilization,7.533458,27.84271166456549
gjxl_aq_gaborish_f32,12,ALU Utilization,13.45346,7.727823617541058
gjxl_aq_epf_pass1_tile32x4_p2,12,ALU Utilization,4.482374,39.079070319168615
gjxl_aq_epf_pass2_linear_tile32x4_p2,12,ALU Utilization,11.198084,29.704566652910366
gjxl_butteraugli_malta_fixed_f32,12,ALU Utilization,2.549708,38.26115344709254
gjxl_butteraugli_final_l2_masked_ac_f32,12,ALU Utilization,9.075249,4.63012325556368
gjxl_butteraugli_resident_l2_reduce_w64_simd,12,ALU Utilization,4.076207,10.351964641457121
gjxl_ac_strategy_dct16_candidate_loss_parallel,12,ALU Utilization,7.254378,35.023660151611445
all ordinary GPU active,13,F32 Limiter,662.110066,32.71530395894649
gjxl_aq_resident_input_transform,13,F32 Limiter,6.374792,12.69163845262898
gjxl_aq_resident_input_statistics,13,F32 Limiter,1.925875,3.83345541809086
gjxl_butteraugli_low_medium_p1_device,13,F32 Limiter,15.729545,63.267774447199784
gjxl_butteraugli_convolve_transpose_f32,13,F32 Limiter,9.670374,29.585610186961816
gjxl_butteraugli_subsample2x_f32,13,F32 Limiter,2.510083,2.4358048936791317
gjxl_butteraugli_frequency_high_convolve_f32,13,F32 Limiter,9.845999,25.90138956064052
gjxl_butteraugli_frequency_suppress_x_f32,13,F32 Limiter,4.082791,6.572242996972831
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,13,F32 Limiter,12.272249,14.393003236454604
gjxl_butteraugli_fuzzy_erosion_f32,13,F32 Limiter,1.030249,3.3268457325193586
gjxl_convolve_symmetric5_f32,13,F32 Limiter,2.9835,11.066541471189483
gjxl_aq_initial_cfl,13,F32 Limiter,4.532375,2.276993261383098
gjxl_aq_initial_quant_gradient,13,F32 Limiter,1.95925,27.112523408325867
