resolution_class,effort,stage,mean_ms
12mp,8,aq.reconstruction.forward.dct16,0.08247933333333334
12mp,8,aq.reconstruction.forward.dct16x32,0.15466666666666667
12mp,8,aq.reconstruction.forward.dct16x8,0.076528
12mp,8,aq.reconstruction.forward.dct32,0.6522359999999999
12mp,8,aq.reconstruction.forward.dct32x16,0.11350666666666666
12mp,8,aq.reconstruction.forward.dct8,0.385368
12mp,8,aq.reconstruction.forward.dct8x16,0.0967845
12mp,8,aq.reconstruction.quantizer,1.4590836666666667
12mp,8,aq.reconstruction.reset,0.006854
12mp,8,aq.strategy_dispatch,0.003645833333333333
12mp,8,butteraugli.malta.main,20.520264
12mp,8,butteraugli.malta.sub,5.155048833333333
12mp,8,butteraugli.mask.main,3.9136249999999997
12mp,8,butteraugli.mask_final.sub,5.065729166666666
12mp,8,butteraugli.psycho.main.high_x,5.162847500000001
12mp,8,butteraugli.psycho.main.high_y,5.175194666666667
12mp,8,butteraugli.psycho.main.low_medium,16.42195116666667
12mp,8,butteraugli.psycho.main.medium_b,4.226354333333334
12mp,8,butteraugli.psycho.main.opsin,5.862611166666667
12mp,8,butteraugli.psycho.main.suppress_x,1.9680556666666666
12mp,8,butteraugli.psycho.main.ultra_x,4.7765553333333335
12mp,8,butteraugli.psycho.main.ultra_y,7.9304655
12mp,8,butteraugli.psycho.sub.high_x,1.3213056666666667
12mp,8,butteraugli.psycho.sub.high_y,1.189986
12mp,8,butteraugli.psycho.sub.low_medium,4.069485833333333
12mp,8,butteraugli.psycho.sub.medium_b,1.0730621666666667
12mp,8,butteraugli.psycho.sub.opsin,4.553534833333334
12mp,8,butteraugli.psycho.sub.suppress_x,0.4999793333333333
12mp,8,butteraugli.psycho.sub.ultra_x,1.109514
12mp,8,butteraugli.psycho.sub.ultra_y,1.9090973333333332
12mp,8,butteraugli.resident_reduction,19.151326
12mp,8,frontend.ac_strategy.dct16,7.5235693333333336
12mp,8,frontend.ac_strategy.dct16x32,4.873104166666667
12mp,8,frontend.ac_strategy.dct16x8,4.3955416666666665
12mp,8,frontend.ac_strategy.dct32,8.302687333333333
12mp,8,frontend.ac_strategy.dct32x16,4.207174
12mp,8,frontend.ac_strategy.dct8,2.5744998333333338
12mp,8,frontend.ac_strategy.dct8x16,4.1870625
12mp,8,frontend.ac_strategy.metadata,0.6658958333333334
12mp,8,frontend.ac_strategy.select,0.3970905
12mp,8,frontend.initial_quantization,6.436555666666667
12mp,8,frontend.prepare_aq.reference.main.high_x,1.727396
12mp,8,frontend.prepare_aq.reference.main.high_y,1.7041526666666664
12mp,8,frontend.prepare_aq.reference.main.low_medium,5.472020833333333
12mp,8,frontend.prepare_aq.reference.main.mask,2.0249236666666666
12mp,8,frontend.prepare_aq.reference.main.medium_b,1.4819095000000002
12mp,8,frontend.prepare_aq.reference.main.opsin,2.001590333333333
12mp,8,frontend.prepare_aq.reference.main.suppress_x,0.6299096666666667
12mp,8,frontend.prepare_aq.reference.main.ultra_x,1.5854028333333332
12mp,8,frontend.prepare_aq.reference.main.ultra_y,2.661278
12mp,8,frontend.prepare_aq.reference.sub.high_x,0.402986
12mp,8,frontend.prepare_aq.reference.sub.high_y,0.4125971666666666
12mp,8,frontend.prepare_aq.reference.sub.low_medium,1.3523195
12mp,8,frontend.prepare_aq.reference.sub.mask,0.5016108333333333
12mp,8,frontend.prepare_aq.reference.sub.medium_b,0.355285
12mp,8,frontend.prepare_aq.reference.sub.opsin,1.6790345
12mp,8,frontend.prepare_aq.reference.sub.suppress_x,0.16685383333333334
12mp,8,frontend.prepare_aq.reference.sub.ultra_x,0.3635001666666667
12mp,8,frontend.prepare_aq.reference.sub.ultra_y,0.6281528333333334
12mp,8,frontend.quant_adjustment,0.04190266666666667
12mp,9,aq.epf.pass_1,7.634715
12mp,9,aq.epf_linear.pass_2,6.633937166666667
12mp,9,aq.final_frame.dc_quantization,1.6651458333333335
12mp,9,aq.final_frame.dct16,0.35304866666666673
12mp,9,aq.final_frame.dct16x32,0.498972
12mp,9,aq.final_frame.dct16x8,0.171458
12mp,9,aq.final_frame.dct32,1.5043543333333333
12mp,9,aq.final_frame.dct32x16,0.39503483333333334
12mp,9,aq.final_frame.dct8,0.6882361666666665
12mp,9,aq.final_frame.dct8x16,0.24590283333333338
12mp,9,aq.final_frame.quantizer,0.48467366666666667
12mp,9,aq.gaborish,7.0024231666666665
12mp,9,aq.policy_bounds,0.010840333333333334
12mp,9,aq.policy_initialize,0.021854333333333337
12mp,9,aq.policy_update,0.08956933333333333
12mp,9,aq.reconstruction.coefficients.dct16,0.9199793333333334
12mp,9,aq.reconstruction.coefficients.dct16x32,1.6180075
12mp,9,aq.reconstruction.coefficients.dct16x8,0.5902980000000001
12mp,9,aq.reconstruction.coefficients.dct32,4.998631666666667
12mp,9,aq.reconstruction.coefficients.dct32x16,1.4257986666666664
12mp,9,aq.reconstruction.coefficients.dct8,2.2543818333333334
12mp,9,aq.reconstruction.coefficients.dct8x16,0.7842641666666667
12mp,9,aq.reconstruction.dc_llf,0.952423
12mp,9,aq.reconstruction.dc_quantization,6.589194833333333
12mp,9,aq.reconstruction.dc_smoothing,0.11033383333333334
12mp,9,aq.reconstruction.dct16,0.32413933333333333
12mp,9,aq.reconstruction.dct16x32,0.6338401666666665
12mp,9,aq.reconstruction.dct16x8,0.3237778333333333
12mp,9,aq.reconstruction.dct32,2.6991805
12mp,9,aq.reconstruction.dct32x16,0.39973600000000004
12mp,9,aq.reconstruction.dct8,1.5358063333333334
12mp,9,aq.reconstruction.dct8x16,0.4132706666666666
12mp,9,aq.reconstruction.final_cfl,16.391576333333333
12mp,9,aq.reconstruction.forward.dct16,0.0953335
