case,kernel,trace_calls_per_encode,s103_gpu_ms_per_encode,s103_kernel_percent,profiled_ns,gpc_mhz,dram_mhz,dram_read_bytes,dram_write_bytes,dram_GB_s,dram_percent,lsu_percent_active,l2_percent_elapsed,fma_percent_active,occupancy_percent,eligible_warps,issue_active_percent,registers_per_thread,static_shared_bytes,long_scoreboard_cycles_per_issue,mio_throttle_cycles_per_issue,anomalies
4k,"void unnamed>::InverseDctFactoredKernel<32, 32, const float *, unnamed>::AqDctImageOutput>(T3, T4, unsigned long long)",2.0,1.6125696666666667,0.9651349541723647,794368.0,1278.8212348299999,5495.3271028,99002880.0,98477824.0,248.6010312600709,94.25,20.78,32.92,9.1,40.68,0.27,12.99,64.0,8448.0,15.4,10.39,
4k,"void unnamed>::InverseDctFactoredKernel<32, 16, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<32, 16>>(T3, T4, unsigned long long)",1.0,1.4836383333333334,0.8879685910314346,1107200.0,1275.62168834,5495.028901729999,183227520.0,2332416.0,167.59387283236995,63.54,70.76,43.02,25.53,65.25,2.61,72.3,64.0,4224.0,2.45,0.4,
4k,"unnamed>::ReduceButteraugliKernel(const float *, unsigned int, const CudaAqAnchor *, float *, unsigned int, unsigned int *, unsigned int, unsigned int, CudaAqExactBatch)",4.0,1.4189913333333335,0.8492768801105954,232448.0,1278.20128946,5493.392070479999,33005824.0,588800.0,144.52533039647577,54.81,49.78,18.58,15.09,81.63,0.8,45.12,27.0,1024.0,10.49,0.67,
4k,"unnamed>::ComposeKernel(const float *, const float *, float *, unnamed>::ComposeParams)",2.0,1.3536673333333333,0.8101799796481932,300896.0,1281.77842178,5493.84948066,41483008.0,31903104.0,243.89194937785814,92.49,18.0,29.49,11.81,81.19,0.68,37.18,16.0,0.0,18.67,0.02,
4k,"void unnamed>::ForwardDctFactoredKernel<32, 16, unnamed>::AcStrategyDctSource<32, 16>>(T3, float *, unsigned long long)",1.0,1.3080985,0.7829066935508764,1206848.0,1267.89675806,5495.2537519200005,100127744.0,147939584.0,205.5497693164342,77.93,42.35,26.69,14.86,65.05,0.93,27.58,40.0,4224.0,20.06,2.16,
4k,"void unnamed>::ForwardDctFactoredKernel<32, 32, unnamed>::AcStrategyDctSource<32, 32>>(T3, float *, unsigned long long)",1.0,1.3011751666666667,0.7787630269933881,1299680.0,1276.1459231,5495.50658624,100265728.0,222073088.0,248.01398498091837,94.02,29.11,36.6,15.29,40.66,0.61,25.61,54.0,8448.0,7.99,4.11,
4k,"void unnamed>::ForwardDctFactoredKernel<8, 16, unnamed>::AcStrategyDctSource<8, 16>>(T3, float *, unsigned long long)",1.0,1.2104848333333333,0.7244841871300087,1109920.0,1275.9000648699998,5495.40147038,102347648.0,173177472.0,248.23871990774109,94.11,42.46,33.9,18.13,64.82,0.93,43.13,40.0,2304.0,11.75,0.61,
4k,"void unnamed>::CooperativeFinalCflKernel<2>(const CudaAqColorTransformRecord *, const unsigned int *, const float *, const float *, const int *, const unsigned int *, signed char *, signed char *, unsigned int *, unsigned int)",1.0,1.2053806666666667,0.7214293053697034,547968.0,1277.4450332899999,5494.97780892,100045696.0,1413504.0,185.15533753795842,70.2,93.51,19.58,23.11,57.71,1.56,58.06,40.0,0.0,2.57,2.85,
4k,"void unnamed>::ForwardDctFactoredKernel<16, 32, unnamed>::AcStrategyDctSource<16, 32>>(T3, float *, unsigned long long)",1.0,1.0384803333333334,0.6215382129767842,998304.0,1276.5019473,5495.40019874,100229376.0,147786496.0,248.437221527711,94.18,38.54,32.16,19.13,65.57,1.51,41.34,52.0,4352.0,6.27,4.13,
4k,"void unnamed>::InverseDctFactoredKernel<8, 8, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<8, 8>>(T3, T4, unsigned long long)",1.0,1.023616,0.6126417987833286,749728.0,1275.793799,5495.4116693000005,136359552.0,5949056.0,189.81364975030945,71.96,65.09,23.66,22.04,64.92,1.48,64.61,40.0,2304.0,5.17,0.14,
4k,"unnamed>::PackAcGroupsKernel(const CudaAqAnchor *, const unsigned long long *, const int *, int *, CudaAqExactBatch, unsigned int, unsigned int)",2.0,0.9541103333333334,0.5710421396804022,792704.0,1281.4955729600001,5495.45185424,98950144.0,97543296.0,247.87744227353463,93.97,11.97,26.64,0.64,91.2,0.08,7.06,28.0,0.0,148.84,0.0,
4k,"unnamed>::PrefetchedInitialCflKernel(const float *, const float *, const float *, signed char *, signed char *, unsigned int *, CudaAqGeometry)",1.0,0.8962310000000001,0.5364009276578144,898656.0,1280.36831298,5495.13940818,199049856.0,1407488.0,223.0634903678382,84.57,9.36,23.66,2.3,17.05,0.07,6.42,48.0,0.0,29.16,0.0,
4k,"void unnamed>::ForwardDctFactoredKernel<8, 8, unnamed>::AcStrategyDctSource<8, 8>>(T3, float *, unsigned long long)",1.0,0.8160423333333333,0.48840741349947436,816672.0,1278.0622657200001,5495.08248109,102744960.0,98653824.0,246.60914540966263,93.5,22.98,36.05,7.22,64.8,0.26,18.58,38.0,2304.0,33.39,1.71,
4k,"void unnamed>::ForwardDctFactoredKernel<32, 32, unnamed>::AqDctImageSource<32>>(T3, float *, unsigned long long)",1.0,0.8079676666666665,0.4835746653681023,795008.0,1281.98877663,5495.41136693,99014912.0,98491648.0,248.4334245693125,94.18,21.13,36.64,11.44,41.02,0.25,15.61,48.0,8448.0,20.91,3.31,
4k,"unnamed>::LinearRgbToOpsinKernel(const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaLinearRgbToOpsinParams)",1.0,0.8018503333333332,0.47991339581282905,802240.0,1277.7169758,5495.01396091,99469312.0,98214528.0,246.41483845233347,93.42,11.85,26.82,23.7,80.63,1.17,43.08,20.0,0.0,16.77,0.04,
4k,"unnamed>::SelectionBucketKernel(unsigned int *, unsigned int *, float *, unsigned int, bool)",32.0,0.7860136666666667,0.4704350328784879,6112.0,1277.4323734700001,5500.8726003500005,27392.0,16000.0,7.099476439790576,2.69,2.76,1.62,0.5,16.54,0.02,2.26,16.0,0.0,5.81,0.0,
4k,"unnamed>::OpsinMatrixScaleStatsKernel(const float *, const float *, const float *, unsigned int *, unsigned int *, CudaLinearRgbToOpsinParams)",1.0,0.7456404999999999,0.44627139197286914,757152.0,1279.36574602,5495.6257132,99491968.0,1427200.0,133.2878576560585,50.53,25.03,32.02,7.38,84.6,0.39,23.68,22.0,0.0,17.82,6.17,
4k,"void unnamed>::CoefficientOrderPopulationKernel<0>(const int *, unnamed>::PopulationBatches, const unsigned char *, unsigned int *)",1.0,0.5012073333333333,0.29997632144938013,397632.0,1282.20984897,5494.286174149999,99576832.0,1486080.0,254.16191855786255,96.37,13.76,27.11,5.92,96.89,0.24,18.08,30.0,3072.0,55.77,0.01,
4k,"unnamed>::InitialGradientKernel(const float *, float *, float *, unsigned int *, CudaAqGeometry)",1.0,0.34730516666666666,0.20786472860272837,346816.0,1281.13178169,5494.248631359999,45557376.0,35631360.0,234.097434951098,88.77,24.79,68.69,26.51,71.1,1.27,60.36,48.0,0.0,7.59,0.07,
4k,"unnamed>::FinalizeCostKernel(const float *, const AcStrategyCandidateDevice *, const AcStrategyChannelRateDevice *, float *, CudaAcStrategyBatchParams)",7.0,0.16296416666666666,0.09753526733061306,36896.0,1272.7395923699999,5490.60422087,8303104.0,328064.0,233.93235039028622,88.76,7.71,36.96,6.52,89.43,0.2,15.06,22.0,0.0,65.9,0.04,
4k,"unnamed>::PrepareQuantNormsKernel(const AcStrategyCandidateDevice *, const float *, float *, CudaAcStrategyBatchParams)",7.0,0.10159666666666667,0.060806361581937855,18400.0,1274.87318841,5481.73913043,3639040.0,162048.0,206.5808695652174,78.51,9.03,24.89,0.81,88.4,0.14,8.72,35.0,0.0,109.44,0.04,
4k,"void unnamed>::SelectAdjustedQuantizationCooperativeKernel<32, 16, 1>(const CudaAqAnchor *, const float *, int *, const float *, float *, const unsigned int *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",3.0,0.0908175,0.05435495006037903,13280.0,1274.3975903599999,5448.99598394,799104.0,101504.0,67.81686746987951,25.93,10.51,9.0,4.16,25.09,0.14,12.69,40.0,12.0,14.57,0.02,
4k,"void unnamed>::EncodeResidentCoefficientsShapeKernel<32, 16, 256, 0>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",2.0,0.05606016666666666,0.033552427225404705,13088.0,1269.9674001600001,5476.7726161400005,38912.0,1399680.0,109.91687041564792,41.81,25.19,23.03,11.6,63.86,0.74,35.25,47.0,256.0,10.0,0.21,
4k,"unnamed>::ResidentPolicyUpdateKernel(float *, const float *, const float *, const float *, float *, const unsigned int *, unsigned int *, CudaAqResidentPolicyParams)",2.0,0.05017716666666666,0.030031407915192355,9536.0,1254.99860179,5476.51006711,1524864.0,24192.0,162.44295302013424,61.8,16.38,24.21,18.58,75.12,0.92,46.26,19.0,0.0,11.87,0.19,
4k,"unnamed>::RawQuantKernel(const float *, const unsigned int *, int *, unsigned int *, unsigned int)",4.0,0.03946733333333333,0.0236214929099531,4128.0,1237.40310078,5457.36434109,4736.0,312448.0,76.83720930232558,29.33,32.35,28.65,13.14,74.61,1.05,43.18,16.0,0.0,8.67,0.5,
